ph,Hardness,Solids,Chloramines,Sulfate,Conductivity,Organic_carbon,Trihalomethanes,Turbidity,Potability
6.5958,185.0789,7450.4482,8.8751,324.2503,363.0087,14.9774,75.353,4.6501,0
8.3159,215.9801,31409.0688,9.5481,337.1625,544.762,13.3844,56.5446,4.0747,0
6.8154,234.5485,19756.3582,5.0134,315.7397,394.3637,12.3941,51.7868,4.4557,1
7.9151,139.3636,20151.1445,7.1213,313.9952,233.3808,10.5753,80.9681,3.1069,1
5.9733,188.6811,4969.4311,9.0737,259.7103,419.0824,14.1358,71.5047,3.8062,0
4.5687,201.9464,20753.5003,9.9659,324.1647,459.3113,13.233,63.7585,3.912,0
4.4294,134.1824,27172.339,6.6119,401.4606,386.2524,13.8874,58.0106,5.0851,0
,96.04,28949.9487,6.5429,305.3589,475.8358,11.9006,81.473,2.8892,1
,206.2943,26710.6429,6.525,309.6427,540.3412,9.9036,37.8797,3.4227,0
7.476,174.9109,20745.766,7.8268,353.4023,450.4582,17.3085,56.5588,4.0761,1
,221.7427,19353.5879,8.4087,364.9541,466.0912,18.7308,58.9503,4.2619,0
9.8907,195.7412,22920.3468,8.7004,,510.2992,17.7946,57.2422,3.5248,0
7.4288,195.6447,27180.1239,6.4236,314.8817,429.5328,15.302,82.9394,4.0267,1
,184.6018,19337.9481,9.4571,354.3188,492.1708,15.0712,82.1731,3.7755,1
,199.424,19411.2314,5.55,290.7862,413.474,13.6432,55.702,3.8362,1
6.8854,166.394,24683.3547,8.146,299.1426,337.3337,14.4631,77.4144,3.482,1
6.6251,179.2509,19078.7972,9.2939,305.3424,450.2954,14.3804,60.0988,4.0279,1
,221.8028,23561.3109,8.9222,330.4327,372.5461,11.0922,53.397,3.9242,0
,187.7822,22452.019,7.8472,,416.4091,10.0884,55.9392,4.1153,1
6.9407,212.6331,13227.573,6.5499,,422.2101,15.2326,57.1601,5.0921,1
8.8338,195.7626,34398.7848,7.0386,299.0898,447.2269,10.4091,72.0342,4.6291,0
,184.9891,27137.8288,6.0057,334.1877,254.1459,19.1308,63.8841,4.242,0
4.2776,164.439,13346.5683,6.077,286.6323,422.6073,13.0976,48.5879,4.2513,0
6.9336,223.6272,12918.2414,5.5835,309.3528,338.5154,16.5871,36.4034,4.5462,1
9.5783,168.906,16992.8002,8.9154,285.4822,345.1336,14.7464,71.0337,4.8539,0
6.5164,208.2996,16011.4907,5.2944,322.8748,518.4141,13.3596,81.7235,4.8769,0
5.7719,145.1414,12625.8285,6.0555,,330.9451,14.8559,53.3337,4.0907,0
5.3254,204.9352,23088.4205,9.2924,421.6657,532.0964,14.3942,75.2941,3.0104,0
5.5365,208.6443,18330.1847,7.7879,,366.0488,16.5163,86.2606,2.9349,0
6.6387,175.1573,12886.4029,9.9153,356.6473,498.9223,15.9543,58.0862,3.9679,0
5.3454,143.1284,34454.5177,9.6545,344.2876,475.8997,18.8646,84.0858,3.4138,0
9.2815,190.9122,18098.2085,7.8675,321.0596,384.636,14.3263,59.5876,4.3312,0
6.6645,199.4157,23889.578,8.9435,306.7282,502.7158,16.1228,62.1908,5.1243,0
7.2397,178.94,9470.3936,5.4141,,194.6466,11.7652,49.045,4.4941,1
9.1942,173.9034,11471.0014,7.5803,339.6736,441.5372,18.3212,54.9362,3.9744,0
,225.7869,12267.8484,9.9805,,411.4721,13.5039,59.4608,3.067,0
,192.3835,29139.0415,7.9506,,483.9832,14.6864,100.583,4.2459,1
7.568,182.42,27293.3591,7.6797,370.684,384.6714,11.8905,53.4153,2.8411,1
,223.6664,18972.449,11.5209,269.0885,453.0031,10.3584,,4.2444,0
6.7965,195.4013,18412.3221,8.5203,392.8735,403.523,6.2362,64.6473,4.2756,0
4.4663,173.1993,23836.788,4.9438,304.5764,476.8651,22.6947,60.0734,4.9376,0
8.0424,224.4928,13499.2467,9.064,358.367,491.7576,18.6901,57.1368,6.1012,0
8.3947,184.2658,18876.745,3.2467,349.468,317.465,11.554,60.3355,4.1573,0
7.6908,226.2465,29198.8943,8.0277,326.6351,575.439,13.2658,50.6571,6.0906,0
5.7224,174.0349,13212.6436,7.854,352.4211,420.3471,9.0614,44.3355,4.8027,0
6.7918,206.5858,26574.9357,6.5089,387.8498,599.7116,16.6902,55.6885,3.5037,1
6.2116,236.4051,20082.9965,6.0009,335.8001,379.9671,15.5832,86.1825,4.1804,1
6.6394,210.9367,22560.2327,6.559,377.6046,430.3603,16.6574,65.8081,4.3062,1
8.9864,212.4033,19663.815,11.5683,413.1686,541.7091,12.2058,55.151,3.0831,0
9.3285,210.7107,28329.6725,5.502,338.4866,401.1605,16.2915,86.9296,3.9368,0
8.064,224.0644,28483.3624,5.9671,,508.977,14.0894,66.7072,4.0924,0
7.8867,198.7567,25697.4254,6.9454,,406.3447,9.6919,65.7451,5.1983,1
8.0746,210.6983,6830.6672,6.6108,349.0019,436.8327,18.3927,55.6375,3.0164,1
,188.6364,22017.7817,9.9804,,418.3068,12.4432,80.846,4.3005,0
6.9688,259.0458,31178.4594,7.784,256.1864,444.6124,16.51,58.5178,3.0236,0
6.0897,167.5417,12188.738,7.0112,,587.6496,16.6912,47.7236,3.7295,0
6.9979,222.9995,7661.8527,8.4445,309.0822,373.9078,17.3658,28.9138,5.0715,0
10.4021,164.157,19024.6589,7.7562,,450.1366,17.154,46.3912,3.7967,0
8.3575,213.658,27930.8472,6.975,294.998,400.8726,14.135,66.9356,4.1806,0
6.5771,238.9413,9911.3692,6.7822,,431.6296,8.4844,57.4229,4.2933,1
,160.4985,23828.7346,7.0338,336.9379,427.8121,15.6646,50.5431,3.1174,1
5.8092,253.3195,18456.9232,7.0366,370.1952,436.5178,22.8264,,4.5194,0
7.6303,164.845,20588.0489,6.608,404.8785,470.3812,13.1889,62.0227,4.4922,1
7.6556,169.4041,24453.1749,7.1676,322.4627,605.4281,16.7093,46.5301,3.7716,1
4.9586,206.6205,19387.8715,9.2834,280.213,310.6847,14.5625,60.9818,5.3098,0
7.7949,160.3414,16012.6048,5.2816,389.7772,411.687,13.0623,64.531,5.7231,1
6.2429,227.968,22387.6471,7.8823,,466.3722,14.626,48.8297,5.0423,0
9.1773,212.0714,34284.3485,8.4387,340.0697,532.6954,19.1124,69.8891,4.5294,0
,107.5865,26149.6736,7.1191,362.0422,322.2049,17.1942,101.9862,3.0829,1
9.6051,149.7198,26967.5024,7.2109,271.7026,604.215,14.5082,60.4872,3.2485,0
,172.5666,12942.429,9.0711,309.8083,482.8476,15.3586,83.7135,4.435,0
6.6567,209.6065,16508.443,6.6065,343.0196,597.5848,6.749,67.652,4.4015,1
7.5207,161.1984,9526.9357,8.2178,,499.7821,8.8852,56.2102,5.0457,0
8.6322,172.5236,29014.3565,8.1278,408.27,434.7675,6.357,72.7623,4.8645,0
7.9118,216.1324,29690.8947,7.5805,279.4457,379.1554,13.5579,75.3767,4.7646,1
,163.6752,24769.5799,7.6096,367.5986,452.7413,18.677,85.1048,3.9779,0
7.3489,205.5822,27786.6996,8.581,,450.36,18.1024,86.6681,4.5517,1
7.1127,151.557,17428.3103,9.5822,336.7354,311.0953,12.2176,87.9169,4.2046,1
6.4493,228.4706,17891.4464,5.5802,303.7275,436.5859,15.9101,59.3741,4.1615,1
6.1273,242.0803,31539.7809,8.916,353.4429,402.4134,15.237,55.8343,4.268,0
9.6489,158.5961,17639.5631,6.1971,379.4931,461.0128,19.1521,82.1782,4.647,0
6.5061,119.048,29955.7296,5.8686,355.3446,334.3938,8.9798,38.0836,5.4039,0
5.8365,141.1697,35486.7164,7.5609,329.5618,354.2044,9.4353,76.8974,4.326,0
8.0166,227.0176,11174.0939,7.5644,240.6965,388.3227,14.3813,76.058,4.0968,1
7.272,177.1829,13524.4111,4.5201,342.695,450.982,12.1318,,3.5804,1
6.9686,229.8179,35849.2972,9.8459,251.4227,369.3267,8.9909,,4.8364,0
8.2285,152.2136,29754.3358,6.5555,373.9805,272.1186,13.3186,50.2047,3.4714,1
7.7983,165.0818,34678.3348,8.3478,288.6451,317.8478,20.7768,34.8934,2.4683,0
7.6124,191.7116,35798.4688,7.8879,257.1982,499.0331,15.0602,80.5132,5.0768,0
8.4974,230.2702,18679.0826,8.2278,,481.2328,11.4269,52.2541,5.8067,0
7.4969,188.4742,38741.3051,7.4017,333.4661,408.5512,17.5174,59.8653,4.0938,1
6.1731,162.1345,33296.089,7.7573,298.1438,471.3766,10.1629,73.7298,4.2503,1
6.5474,205.2487,30225.1585,7.3917,335.7182,357.2834,14.1446,81.2613,4.1708,1
6.3142,198.2815,24189.239,6.7218,280.3578,389.6387,13.285,51.2091,4.6965,1
7.3883,211.7881,18303.4809,9.0374,363.2192,397.3145,15.4636,58.057,2.8898,1
5.4954,189.7265,14764.3806,7.5144,394.7953,520.467,14.3819,64.0395,2.4776,0
4.3863,175.2616,8939.2017,7.8224,335.4077,431.2404,16.0752,77.6928,3.559,0
7.2096,196.1625,14097.4838,6.3734,290.6297,342.2195,11.7801,74.9209,5.1705,1
5.1153,115.0532,14701.3255,6.2638,277.9711,406.7017,14.4576,92.0822,4.3597,0
4.2106,204.1583,23038.7534,7.5409,298.866,377.1183,17.1417,56.4665,3.3216,0
7.6288,235.4071,15314.8888,5.0343,376.3418,503.3506,10.841,48.335,4.0022,1
,213.4186,6103.9987,9.5251,305.248,470.6231,17.6678,47.4054,3.5184,0
7.8093,164.5875,22869.8558,6.6652,267.3404,458.3883,15.1291,71.4272,3.2631,1
,145.7064,3616.4733,6.7622,,374.7371,9.5421,68.0446,3.0875,1
5.4307,238.2068,18395.239,6.4773,397.818,494.9701,16.6958,79.3915,4.0723,0
5.252,178.9415,27288.1191,7.4695,,473.6273,14.9239,50.7553,4.0707,0
,188.6276,8035.4407,8.077,304.4078,296.5621,10.7143,37.5792,4.3214,1
6.6781,202.7259,10837.0154,8.3756,364.5369,416.2587,15.6533,50.6446,4.1309,0
,176.2459,20836.2975,6.2088,294.1807,451.8578,9.4683,55.3575,3.1904,1
6.6668,196.7715,32925.2311,5.5063,,439.1869,10.8479,81.2754,3.4574,1
4.8219,244.1726,20210.198,7.0429,357.4241,441.5039,11.4271,59.6761,3.8598,0
7.1013,179.3378,17428.0016,7.0542,284.7171,453.9686,15.7753,74.1836,4.3116,1
4.4433,257.761,23615.5318,6.0908,,498.4042,20.128,69.5444,3.4435,0
,207.9245,6109.9458,9.1818,,495.3246,13.7845,63.1818,4.7584,0
8.105,205.8601,8151.1145,5.6298,368.306,436.2902,15.5907,64.2861,3.0622,0
8.6852,226.2326,27261.3398,5.8631,315.0905,346.6756,15.1879,44.228,3.7642,0
9.6001,225.4265,28255.5236,8.7182,,246.8612,15.5601,,2.3086,0
4.7923,229.7818,26472.6587,6.617,340.7924,340.8153,17.2705,89.2193,2.6995,0
8.1953,213.636,22488.6568,6.9301,,399.6095,13.4623,70.0469,5.8448,0
,176.6305,25236.8505,5.8952,306.2541,455.8353,16.054,47.9265,4.3127,0
8.5214,248.4809,6023.8374,5.2778,,585.4668,16.247,57.5143,4.2365,0
5.7139,190.6846,11826.8984,6.0701,228.1944,485.1472,11.9712,47.6687,5.0733,1
7.6853,168.488,17876.0666,4.554,338.4604,320.4082,15.6366,,2.8934,1
9.8143,224.7078,29756.9337,8.3493,368.0147,470.6462,19.2431,,3.3525,0
4.879,216.7064,23014.6642,7.671,376.5555,371.7627,7.0487,69.4489,4.583,0
7.7802,194.6185,21616.1163,10.1839,,349.0594,12.4843,83.6592,2.9463,0
8.7151,198.0295,11514.8544,7.0822,365.4758,392.0977,18.0602,55.9561,3.6742,0
6.056,214.5742,22438.9588,6.3613,293.6253,498.2773,16.8496,18.1898,1.9085,1
7.937,258.1864,24694.5144,8.7854,,406.8877,14.6343,83.4734,4.3274,1
,193.1972,26403.4931,6.3931,,481.158,15.5735,64.999,5.1575,0
5.8861,154.7046,20280.2616,8.7737,305.2495,417.6267,11.8203,67.0671,4.5886,0
5.8789,177.1713,39243.0227,6.4378,350.4598,384.4172,15.7733,111.0979,3.5232,0
7.3627,212.202,11318.4501,4.3785,,429.218,15.2095,49.4638,3.3604,1
6.9463,189.0939,29315.528,6.6715,327.8464,565.1826,15.5793,66.9903,4.8792,1
8.4825,174.0434,10321.5366,6.7204,429.2869,421.7294,12.3247,49.5219,1.5992,1
5.6978,219.298,10378.2141,8.0231,,514.4336,14.6197,72.0219,3.6691,0
6.887,219.5645,27774.5608,6.4992,,536.6766,8.4424,90.9027,3.1743,1
8.4928,188.9902,18059.6403,7.596,385.7425,544.4888,16.5648,57.1653,4.2562,0
7.9043,204.84,14971.6231,7.5781,363.8338,445.4645,19.1959,71.6179,3.196,1
5.1328,174.9167,21949.784,5.8373,,500.7638,10.4945,57.582,4.2964,0
8.0578,175.7976,43920.7275,5.4601,454.5539,456.6654,13.9499,52.7479,2.6686,0
6.3767,184.4846,16351.379,6.0323,,322.8954,8.1275,84.8499,3.1297,1
,151.3528,18749.62,4.651,373.9696,379.2111,16.8307,56.5948,4.7008,1
7.522,206.4764,32453.3509,7.3136,378.3886,392.1595,12.4172,51.9161,5.8459,1
,192.8957,16795.9864,8.1796,,572.5176,13.9546,75.0943,3.1902,0
7.2513,178.9418,42684.7587,6.6832,,340.9804,11.5945,77.9511,2.4965,1
4.3549,198.7595,10536.1742,6.1766,366.3346,346.1641,10.6273,76.1892,4.8489,0
5.0663,199.6104,19880.5131,5.3461,320.0805,473.6246,15.8843,45.6627,4.1417,0
8.1548,171.0476,30337.5372,8.171,335.3297,471.5281,14.8484,42.5106,2.265,0
6.7003,175.9429,19764.5328,8.8223,,424.6718,17.1517,75.217,3.4647,1
8.7528,169.3068,17446.8769,3.8023,312.7086,334.4294,16.4296,,4.0654,0
7.482,238.8617,9429.3063,10.3489,382.9773,181.0,11.1372,48.1502,4.1878,0
5.9789,140.3921,20602.3281,9.5629,316.0327,551.0106,19.8833,69.3021,4.7542,0
,192.2012,29284.3661,6.3465,392.2385,392.4932,7.2623,63.9453,4.4313,0
5.8931,221.8538,19428.2164,7.1545,,454.9953,16.1993,,3.2911,1
,159.4836,13071.0888,7.4113,271.1096,376.3711,16.4134,92.3381,2.5467,0
10.1138,163.362,33411.6625,7.7729,299.753,341.9024,18.9622,59.4436,3.9099,0
4.2712,162.6212,29178.3056,6.6008,,381.1537,9.6433,71.5766,4.4587,0
8.0155,135.6812,26809.1256,7.8002,390.6995,526.9975,15.3174,70.4753,5.0951,0
8.4601,232.2566,19802.5773,8.1618,322.961,486.6919,10.2573,59.196,4.7966,0
,185.6763,14219.7472,10.9643,369.0947,620.4051,21.3724,78.3574,3.733,0
4.6054,157.1907,31724.9252,7.0612,,356.8107,6.5181,78.8204,3.44,0
8.5721,172.1519,22273.4521,6.1682,346.1934,392.9654,14.8375,67.1821,5.0952,0
4.9609,198.1439,18405.4954,8.7237,302.074,422.8116,15.9105,82.4783,4.6391,0
5.1049,181.5929,20096.3085,7.1261,339.3447,501.9476,11.6792,54.0305,3.4583,0
6.5483,163.0394,25065.766,7.4055,368.2196,532.6342,11.1401,63.2381,3.6925,1
8.2391,208.4097,29063.9811,7.3094,330.6011,346.9851,23.6802,54.0722,4.3521,0
,163.033,21479.9325,6.6127,365.3562,420.7097,12.3925,73.4477,2.0868,1
8.2718,178.921,18330.9904,6.4795,305.7548,362.4094,12.9179,67.1437,4.5167,1
6.4278,197.2443,11776.7429,6.4336,277.7011,353.3891,15.3061,80.9098,3.7186,1
6.8269,167.9863,19219.6384,5.9957,313.4753,490.9753,14.0971,83.8826,3.0134,1
,194.0404,19793.0541,6.4906,,422.0536,8.5726,78.5915,2.9427,0
6.6142,170.6156,24427.1978,9.9953,270.0812,461.6862,10.2415,75.6984,3.2645,0
7.9519,278.0298,21441.7363,7.0667,343.2051,515.8877,11.4108,75.5221,4.1996,1
6.6393,178.0282,16946.4695,5.9569,,486.9609,12.561,93.2124,3.4242,1
7.7789,213.6236,20622.9975,5.6295,,588.116,15.2652,39.6605,5.0583,1
6.2373,163.3654,27051.7839,9.0061,345.1339,512.4753,13.0311,78.2831,4.397,0
6.2092,154.7637,20754.4795,6.2333,,438.6451,13.3167,67.4525,3.7325,1
,187.0206,20091.4825,7.4119,273.4446,385.4442,15.9499,45.7503,5.0209,1
,179.7655,19443.7921,4.5029,434.3919,442.9135,13.0957,59.1464,5.4365,1
7.9508,179.8881,18705.587,3.9632,336.9878,494.3145,15.0096,50.9863,5.1891,1
7.3421,189.8375,24585.9115,7.5449,297.8812,448.1838,16.0644,70.024,4.947,1
9.6383,219.5744,26979.3727,4.5828,345.3901,345.6594,13.6972,74.2323,3.7841,0
6.7573,252.9692,19088.6034,7.4917,255.8727,399.1866,13.5276,69.5188,4.7493,1
6.7459,256.332,19965.2621,8.4801,339.8155,353.5083,17.8843,48.715,4.4461,1
5.551,192.5981,25008.5383,5.8663,334.7761,587.5667,16.945,54.9548,5.7558,0
7.1135,250.1409,28186.1937,6.3651,230.594,503.6491,24.4776,65.0731,3.9651,0
8.0838,245.8396,33579.5836,6.4605,,331.1763,16.2769,54.6892,5.18,0
5.9918,170.0142,10054.2131,6.0525,281.7177,414.8268,15.055,50.1535,3.4492,1
7.007,174.4992,29017.0192,6.525,311.329,486.6639,17.1697,39.1836,3.1453,1
8.1363,186.8639,17448.6274,6.4685,341.2553,456.9601,15.7693,62.607,3.1394,1
6.8934,253.8159,27053.3204,6.7891,315.6913,406.1165,17.3192,79.7134,4.5312,1
,185.2646,29606.1266,7.2114,289.6682,220.2776,13.3336,60.095,3.1589,1
8.5104,181.958,37636.86,7.9139,,535.2834,11.8711,69.0724,3.9149,0
7.2226,234.8308,17299.6256,7.8362,346.285,356.3715,7.9406,44.3214,3.5398,1
,183.7562,30517.444,7.2159,327.6471,517.6769,17.5291,55.182,4.1987,0
8.8019,184.5605,658.3879,5.9432,308.3508,507.4454,9.6987,,4.4155,0
8.7636,208.9252,22152.4455,7.889,279.5676,393.3949,19.2762,44.1259,4.1081,0
6.5696,195.0621,2593.7381,8.3494,320.1613,409.6474,11.826,103.7734,4.6249,0
6.3076,110.7075,15464.2516,7.3518,391.5148,438.5063,10.798,57.8328,2.8811,1
7.4979,148.625,11920.0,6.5675,,403.6819,11.378,39.2296,3.7793,1
,212.1271,9057.0851,10.4025,374.6104,418.4879,12.4783,64.5521,2.9233,0
4.2872,142.4465,21457.932,3.7305,,407.0037,16.2665,67.0215,3.7167,0
8.9548,228.9466,12112.0362,8.084,339.1536,568.5496,14.5986,75.5865,1.8809,0
7.1085,186.698,11606.958,7.4827,277.4703,501.4783,12.4678,81.7236,1.8541,1
8.1625,197.211,14702.4953,9.4258,351.1168,334.8512,21.6933,60.2829,3.3492,0
5.3558,198.1167,17049.2729,9.9488,,333.4987,7.6145,74.7298,4.4638,0
8.9737,130.5318,26030.326,8.1231,345.0521,458.5073,15.0835,75.6399,2.6027,0
6.2153,165.7591,17710.7788,6.4618,381.5406,485.8729,15.9183,81.1728,3.5278,1
6.9217,154.7139,13514.8964,8.0161,,413.4617,16.4547,94.0248,4.9128,1
,196.7043,6774.9465,5.3978,379.673,242.1239,20.7988,79.9974,5.1305,0
6.8346,238.6109,26552.268,7.2847,335.7407,550.92,15.0948,68.1186,4.3938,1
6.7422,181.6121,24019.9838,5.9947,,314.9016,8.6888,70.8994,3.5547,1
6.8075,191.27,26897.3386,7.9031,318.2065,429.5479,18.9306,78.708,4.4322,0
7.7246,125.4046,15729.3857,4.4928,361.9245,377.845,11.5422,45.486,3.4457,1
7.1687,176.7991,31968.0847,6.6425,306.7095,371.9589,11.2965,79.9805,2.4845,1
8.5144,181.0968,26342.1171,7.4567,360.1552,332.4226,15.4818,64.5828,3.4145,1
6.3918,182.9072,41232.5415,6.8146,340.8179,349.1421,11.4636,56.8872,4.617,0
5.6159,208.5198,18395.887,6.6386,304.002,489.5856,13.0297,84.045,3.271,0
7.0519,234.7077,28812.2075,6.0186,224.4021,578.368,15.6685,83.4918,2.968,1
8.0037,188.5597,35618.0532,6.7849,,434.8625,10.3066,47.4868,2.7547,1
8.9096,201.8885,19555.3127,9.3739,368.3614,455.0495,16.2385,60.5066,5.1199,0
8.2765,138.3219,21370.8187,6.2686,308.9626,474.5665,9.8736,56.3495,5.246,1
4.4848,208.8761,17268.4638,5.2038,363.1436,493.4099,11.7747,,4.785,0
7.6343,190.2489,19230.793,5.5967,293.4017,386.4512,8.4769,78.9932,3.7307,1
9.2267,132.2125,28562.6757,6.497,379.4483,499.7173,16.319,67.5699,3.7829,0
7.172,200.1589,23369.6866,8.2073,400.0155,409.8741,17.6371,39.0746,4.4378,1
6.3214,167.7619,12505.5195,6.7499,342.5818,392.1204,14.6702,78.0975,3.4597,1
7.5345,222.1323,42989.3114,8.332,352.6139,182.9223,14.35,90.2631,3.8493,0
6.3402,204.1846,15456.6331,9.25,,420.3597,11.0444,57.4993,4.303,0
,191.9406,31706.4168,5.8258,393.6062,303.5559,20.5049,60.6966,4.0844,1
7.0609,245.1667,22136.3249,7.498,,458.7897,12.5918,68.255,6.234,1
9.1277,184.0944,27600.1196,6.7063,358.8772,452.6147,13.095,90.5111,3.4994,0
7.8143,179.2633,26714.612,8.5581,418.8078,325.4911,15.6196,51.8418,3.8319,0
6.0159,190.4926,28719.8156,8.393,,424.4638,11.7983,,2.3298,0
7.9688,193.258,28677.0122,7.7332,,397.8339,9.9899,84.4369,4.8949,1
8.4559,161.7618,36709.4772,5.4606,353.5584,385.9465,21.1025,67.401,3.468,0
6.2444,208.1597,15906.2026,6.6251,308.3532,470.3989,14.0704,65.5688,4.3148,0
6.4541,203.3746,10427.2401,7.0124,308.6169,454.8033,11.7127,55.3853,3.2232,1
3.6914,172.5929,7387.8293,7.0224,383.5961,378.7532,15.3973,56.5004,4.4684,0
8.408,139.015,4084.998,6.2034,302.9327,287.5318,10.6337,63.1363,3.9787,1
6.216,229.2424,26110.7528,7.5224,319.2817,476.6482,9.1488,47.8853,3.7762,1
3.9601,233.0101,6606.5671,7.8025,276.7775,316.6054,6.1133,72.0987,4.1272,0
4.4799,219.7401,7790.1814,7.623,341.1943,375.6723,15.0196,105.0943,4.5561,0
6.7523,222.8357,23807.8472,5.9613,291.0087,420.6009,20.159,79.7231,3.7177,1
8.1982,249.5522,19206.1668,6.5464,325.2054,477.5227,9.0147,54.2989,5.0851,1
,202.2127,22472.3536,5.3787,321.8146,459.2636,15.3826,64.1911,3.2952,1
7.7735,244.8723,320.0,6.0316,330.6575,392.0218,9.299,59.8804,3.9815,1
5.4608,187.2445,10525.3036,8.0613,303.7553,465.6611,18.7393,41.036,3.9607,0
,163.9741,8252.4038,6.8151,,441.9183,14.2599,101.513,2.7193,0
,193.0829,21341.8987,6.8728,380.2506,569.0277,17.0487,27.0401,3.4474,1
7.8035,182.5399,21182.9183,8.75,372.2343,440.7985,12.5908,58.6928,5.0146,1
7.0352,208.9524,24984.4786,6.2693,358.213,408.1856,11.467,62.2651,3.4926,1
8.9647,252.2343,32147.3994,7.1486,355.3897,314.7998,12.9163,51.5861,4.5799,0
5.6818,206.9015,51606.7576,4.9151,,407.0367,16.5113,,3.6344,0
6.4622,227.507,16972.3894,8.5114,324.4712,337.1428,14.4117,53.2819,3.8451,1
8.5888,262.9615,27613.4901,6.8617,,273.2059,10.775,48.6892,3.7978,0
9.7816,252.2704,29423.8972,8.3302,,356.337,20.0911,71.1592,4.447,0
7.0924,196.6666,20610.9396,8.2943,,501.0196,15.4891,66.0313,4.5021,1
9.5489,171.8296,12913.0955,7.0686,280.1406,504.761,14.9397,32.4964,4.9257,0
6.1943,263.3057,29086.036,7.9672,350.9799,418.3928,13.2777,56.5322,3.1618,0
7.5647,158.7913,29350.1121,4.947,310.6108,340.3437,14.0159,61.1106,3.2023,1
,134.4268,26423.7453,6.3243,345.5517,380.5975,15.7801,104.7365,5.1134,1
4.7453,128.7319,15309.0131,4.2533,402.6848,301.3789,11.567,67.1985,4.3526,0
,232.3184,2240.6036,8.61,356.2059,466.1012,24.9649,110.7377,3.0219,0
8.4511,145.9021,12555.1031,8.0467,331.7905,479.1247,13.3507,53.1403,4.3197,0
